time,Cpy,Cpoc,Cpon,Cpop,Cdoc,Cdon,Cdop,Cam,Cni,Cph,Cox
1/1/2012,0.02,1.11E+00,1.76E-01,3.00E-03,5.03E+00,6.07E-01,1.91E-02,3.45E-02,2.17E-01,2.27E-02,1.16E+01
1/14/2012,0.02,1.11E+00,1.76E-01,3.00E-03,5.03E+00,6.07E-01,1.91E-02,3.45E-02,2.17E-01,2.27E-02,1.16E+01
2/14/2012,0.02,7.57E-01,1.13E-01,4.30E-03,6.75E+00,1.03E+00,1.60E-02,1.80E-02,8.38E-01,1.82E-02,1.36E+01
3/11/2012,0.05,1.01E+00,1.79E-01,5.59E-03,8.02E+00,1.14E+00,1.29E-02,6.26E-03,8.99E-01,8.43E-03,1.49E+01
4/14/2012,0.14,2.48E+00,4.04E-01,1.71E-02,7.88E+00,1.15E+00,1.29E-02,1.98E-02,8.96E-01,1.31E-02,1.36E+01
5/20/2012,0.17,1.19E+00,1.76E-01,6.71E-03,6.93E+00,4.04E-01,9.94E-04,1.75E-02,3.42E-02,8.61E-03,9.01E+00
6/21/2012,0.24,1.53E+00,2.69E-01,1.64E-02,3.43E+00,2.53E-01,1.45E-03,1.73E-02,1.12E-02,1.08E-02,1.10E+01
7/17/2012,0.23,4.70E+00,6.90E-01,2.00E-02,9.32E+00,6.08E-01,1.66E-02,6.08E-03,8.86E-03,9.50E-03,8.72E+00
8/20/2012,0.17,2.05E+00,3.41E-01,2.27E-02,5.49E+00,4.21E-01,8.21E-03,6.05E-04,1.96E-02,8.75E-03,8.33E+00
9/17/2012,0.45,8.70E+00,1.61E+00,2.95E-02,7.56E+00,6.59E-01,8.05E-03,5.29E-02,4.11E-02,8.64E-03,9.58E+00
10/20/2012,0.11,1.62E+00,3.13E-01,9.88E-03,5.62E+00,5.02E-01,1.27E-02,8.95E-02,1.51E-01,1.59E-02,9.85E+00
11/15/2012,0.13,1.67E+00,3.47E-01,8.00E-03,5.56E+00,4.22E-01,6.71E-03,1.40E-01,1.11E-01,8.06E-03,1.07E+01
12/17/2012,0.03,9.51E-01,1.47E-01,1.09E-02,4.35E+00,3.62E-01,7.56E-03,3.00E-02,3.99E-02,1.61E-02,1.28E+01
1/16/2013,0.07,2.37E+00,3.07E-01,1.35E-02,5.80E+00,1.13E+00,1.02E-02,5.88E-02,3.85E-01,1.17E-02,1.34E+01
2/18/2013,0.09,2.97E+00,4.06E-01,1.60E-02,6.98E+00,1.59E+00,9.89E-03,8.45E-02,8.24E-01,1.43E-02,1.46E+01
3/17/2013,0.12,3.58E+00,4.65E-01,1.89E-02,6.70E+00,1.02E+00,4.70E-03,2.42E-02,9.06E-01,7.27E-03,1.59E+01
