box,area,depth
1,31250704,13.38937143
2,187664800.5,2.756888889
3,137921031.2,2.122842958
4,75194402.88,11.23514118
5,106733709.2,2.489162195
6,113545019.3,3.41655
7,3967444.844,10.82673673
8,76803014.02,3.139959701
9,89578403.68,1.949559459
10,40773528.2,11.96268889
11,5564162.18,8.060419565
12,459217176,20.63015769
13,66396636.21,13.4007987
14,49289006.78,2.037504918
15,36746828.75,2.222292593
16,37084151.1,9.411515
17,21879311.58,2.046905
18,28428956.51,1.310456818
19,49931408.45,1.517068519
20,10616803.93,2.552826667
21,28742886.2,2.906471053
22,12828980.81,1.978306061
23,34594771.22,3.436595455
24,8539137.4,2.288530435
25,50559106.45,3.034168182
26,53281551.41,1.645602956
27,81589045.57,2.955855769
28,178661351.1,3.885259302
29,223812574.6,2.523247598
