boxes,Cpy,Cpoc,Cpon,Cpop,Cdoc,Cdon,Cdop,Cam,Cni,Cph,Cox
1,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
2,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
3,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
4,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
5,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
6,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
7,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
8,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
9,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
10,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
11,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
12,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
13,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
14,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
15,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
16,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
17,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
18,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
19,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
20,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
21,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
22,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
23,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
24,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
25,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
26,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
27,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
28,0.68,2,0.27,0.045,11,4.27,0.005,0.04,2.769,0.022,13.33
29,0.68,10,1.27,0.045,11,4.27,0.005,0.04,0.769,0.01,13.33
